SSID,AVG_Signal(dBm),Timestamp,Location,color,Scan_Count
810-1_5G,-83,2025-11-03 10:46:11,Main-stairs/Top-picks,Coral,12
Yie & Esther,-92,2025-11-03 10:46:11,Main-stairs/Top-picks,Coral,8
Yie Office,-95,2025-11-03 10:46:11,Main-stairs/Top-picks,Coral,12
Hidden_Network,-83,2025-11-03 10:46:11,Main-stairs/Top-picks,Coral,73
CI3D_5G,-90,2025-11-03 10:46:11,Main-stairs/Top-picks,Coral,19
ROOM-810_ç°æ§,-90,2025-11-03 10:46:11,Main-stairs/Top-picks,Coral,19
Vivi,-84,2025-11-03 10:46:11,Main-stairs/Top-picks,Coral,19
æ±å°å¦,-86,2025-11-03 10:46:11,Main-stairs/Top-picks,Coral,19
IB-811_5G,-96,2025-11-03 10:46:11,Main-stairs/Top-picks,Coral,8
ESD_5G,-96,2025-11-03 10:46:11,Main-stairs/Top-picks,Coral,15
TR-1021_5G,-93,2025-11-03 10:46:11,Main-stairs/Top-picks,Coral,11
dlink-71A8,-92,2025-11-03 10:46:11,Main-stairs/Top-picks,Coral,9
general_7006,-80,2025-11-03 10:46:11,Main-stairs/Top-picks,Coral,18
iPhone de guill,-92,2025-11-03 10:46:11,Main-stairs/Top-picks,Coral,17
Library-Office,-84,2025-11-03 10:46:11,Main-stairs/Top-picks,Coral,32
ConnLab,-83,2025-11-03 10:46:11,Main-stairs/Top-picks,Coral,25
ConnLab-Guest,-83,2025-11-03 10:46:11,Main-stairs/Top-picks,Coral,25
VUKSRV21_1464,-87,2025-11-03 10:46:11,Main-stairs/Top-picks,Coral,14
TR-1017 5G,-97,2025-11-03 10:46:11,Main-stairs/Top-picks,Coral,7
TR1102-3,-96,2025-11-03 10:46:11,Main-stairs/Top-picks,Coral,8
Xiaomi_6837,-93,2025-11-03 10:46:11,Main-stairs/Top-picks,Coral,9
AndroidAPB7B6,-76,2025-11-03 10:46:11,Main-stairs/Top-picks,Coral,11
NTUST.AD,-79,2025-11-03 10:46:11,Main-stairs/Top-picks,Coral,13
RB501,-87,2025-11-03 10:46:11,Main-stairs/Top-picks,Coral,9
ASUS,-83,2025-11-03 10:46:11,Main-stairs/Top-picks,Coral,12
CI3D,-75,2025-11-03 10:46:11,Main-stairs/Top-picks,Coral,9
AirBox2-F5E6,-90,2025-11-03 10:46:11,Main-stairs/Top-picks,Coral,9
å°ç§å¤§éå£LED,-87,2025-11-03 10:46:11,Main-stairs/Top-picks,Coral,8
IB1225_5G,-97,2025-11-03 10:46:11,Main-stairs/Top-picks,Coral,5
DIRECT-bb-HP M28 LaserJet,-81,2025-11-03 10:46:11,Main-stairs/Top-picks,Coral,4
TR828_5G,-96,2025-11-03 10:46:11,Main-stairs/Top-picks,Coral,3
Nexlit-5GHz,-96,2025-11-03 10:46:11,Main-stairs/Top-picks,Coral,3
MUTEC-5G,-94,2025-11-03 10:46:11,Main-stairs/Top-picks,Coral,3
MiniHubPro_AC84,-81,2025-11-03 10:46:11,Main-stairs/Top-picks,Coral,3
Nexlit,-77,2025-11-03 10:46:11,Main-stairs/Top-picks,Coral,3
Xiaomi 11T,-70,2025-11-03 10:46:11,Main-stairs/Top-picks,Coral,3
D-Link AX1500,-98,2025-11-03 10:46:11,Main-stairs/Top-picks,Coral,2
Android_6222,-99,2025-11-03 10:46:11,Main-stairs/Top-picks,Coral,2
NTUST-UAM,-77,2025-11-03 10:49:20,Top-picks/Audiovisual,Lilac,646
NTUST-PEAP,-76,2025-11-03 10:49:20,Top-picks/Audiovisual,Lilac,598
eduroam,-78,2025-11-03 10:49:20,Top-picks/Audiovisual,Lilac,329
Library-Office,-83,2025-11-03 10:49:20,Top-picks/Audiovisual,Lilac,39
ConnLab-Guest,-84,2025-11-03 10:49:20,Top-picks/Audiovisual,Lilac,39
ConnLab,-83,2025-11-03 10:49:20,Top-picks/Audiovisual,Lilac,39
general_7006,-82,2025-11-03 10:49:20,Top-picks/Audiovisual,Lilac,19
iPhone de guill,-91,2025-11-03 10:49:20,Top-picks/Audiovisual,Lilac,15
æ±å°å¦,-93,2025-11-03 10:49:20,Top-picks/Audiovisual,Lilac,19
Bradley's S22 Ultra,-89,2025-11-03 10:49:20,Top-picks/Audiovisual,Lilac,19
ROOM-810_ç°æ§,-91,2025-11-03 10:49:20,Top-picks/Audiovisual,Lilac,11
Hidden_Network,-81,2025-11-03 10:49:20,Top-picks/Audiovisual,Lilac,85
Vivi,-71,2025-11-03 10:49:20,Top-picks/Audiovisual,Lilac,19
Xiaomi 11T,-76,2025-11-03 10:49:20,Top-picks/Audiovisual,Lilac,17
CI3D_5G,-92,2025-11-03 10:49:20,Top-picks/Audiovisual,Lilac,16
å°ç§å¤§éå£LED,-91,2025-11-03 10:49:20,Top-picks/Audiovisual,Lilac,16
NGLA_24G,-80,2025-11-03 10:49:20,Top-picks/Audiovisual,Lilac,10
soilecology,-96,2025-11-03 10:49:20,Top-picks/Audiovisual,Lilac,8
ZC-LoveYou,-87,2025-11-03 10:49:20,Top-picks/Audiovisual,Lilac,9
IB-9F,-90,2025-11-03 10:49:20,Top-picks/Audiovisual,Lilac,15
OnyxWireless-GUEST,-97,2025-11-03 10:49:20,Top-picks/Audiovisual,Lilac,9
Nexlit-5GHz,-94,2025-11-03 10:49:20,Top-picks/Audiovisual,Lilac,9
Android_6222,-91,2025-11-03 10:49:20,Top-picks/Audiovisual,Lilac,8
FK-11308-3,-84,2025-11-03 10:49:20,Top-picks/Audiovisual,Lilac,10
D-Link AX1500,-97,2025-11-03 10:49:20,Top-picks/Audiovisual,Lilac,8
