Scan_ID,Location,Run,ASUS,BBA-1028,CI3D,CI3D_5G,ConnLab,ConnLab-Guest,IB-9F,Library-Office,MUTEC,NTUST-PEAP,NTUST-UAM,RB501,ROOM-810_ç°æ§,TR-1021_5G,Yie & Esther,Yie Office,eduroam
4,MainStairs/TopPicks,5,-100.0,-100.0,-77.0,-100.0,-81.5,-86.0,-94.0,-83.0,-100.0,-73.7,-77.57142857142857,-100.0,-100.0,-100.0,-93.0,-93.0,-76.5
4,Stairs/RightEnd,1,-84.0,-100.0,-100.0,-100.0,-91.0,-84.5,-100.0,-87.5,-100.0,-83.875,-85.5625,-89.0,-100.0,-100.0,-100.0,-100.0,-85.88888888888889
4,Stairs/RightEnd,2,-100.0,-100.0,-100.0,-100.0,-84.5,-72.0,-100.0,-75.5,-100.0,-85.84615384615384,-88.14285714285714,-97.0,-88.0,-91.0,-89.0,-89.0,-87.42857142857143
4,Stairs/RightEnd,3,-92.0,-97.0,-100.0,-100.0,-85.5,-93.5,-100.0,-92.5,-100.0,-90.0,-91.25,-100.0,-100.0,-96.0,-84.0,-89.5,-91.14285714285714
4,Stairs/RightEnd,4,-100.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.25,-84.0,-95.0,-100.0,-95.0,-81.5,-80.5,-87.64285714285714
4,Stairs/RightEnd,5,-92.0,-97.0,-100.0,-100.0,-96.0,-91.0,-100.0,-100.0,-100.0,-85.55555555555556,-89.5,-100.0,-100.0,-100.0,-93.0,-94.0,-90.2
4,TopPicks/Audiovisual,1,-100.0,-100.0,-100.0,-94.0,-86.5,-79.0,-100.0,-85.5,-100.0,-79.36842105263158,-78.8125,-100.0,-100.0,-100.0,-100.0,-100.0,-79.33333333333333
4,TopPicks/Audiovisual,2,-100.0,-100.0,-100.0,-96.0,-81.5,-79.0,-100.0,-87.0,-100.0,-77.08333333333333,-74.5,-100.0,-100.0,-94.0,-100.0,-100.0,-76.92307692307692
4,TopPicks/Audiovisual,3,-100.0,-100.0,-100.0,-95.0,-77.0,-77.0,-100.0,-78.0,-100.0,-69.44444444444444,-79.26666666666667,-100.0,-89.0,-100.0,-100.0,-100.0,-79.21428571428571
4,TopPicks/Audiovisual,4,-100.0,-100.0,-100.0,-100.0,-82.0,-84.0,-97.0,-88.0,-100.0,-68.91666666666667,-73.46666666666667,-100.0,-86.0,-100.0,-84.0,-84.0,-72.71428571428571
4,TopPicks/Audiovisual,5,-100.0,-100.0,-100.0,-100.0,-81.0,-81.0,-94.0,-80.0,-100.0,-73.41666666666667,-73.25,-100.0,-100.0,-100.0,-100.0,-100.0,-77.23076923076923
5,Hallway/LeftEnd,1,-69.0,-100.0,-85.0,-100.0,-85.5,-86.0,-100.0,-80.0,-100.0,-81.36363636363636,-86.53333333333333,-100.0,-100.0,-100.0,-90.0,-89.0,-85.6875
5,Hallway/LeftEnd,2,-100.0,-100.0,-100.0,-100.0,-86.0,-82.0,-100.0,-85.5,-100.0,-81.14285714285714,-80.93333333333334,-100.0,-100.0,-100.0,-100.0,-100.0,-80.5
5,Hallway/LeftEnd,3,-100.0,-100.0,-100.0,-100.0,-78.5,-79.5,-100.0,-78.5,-100.0,-80.86666666666666,-80.75,-95.0,-94.0,-100.0,-100.0,-100.0,-81.23076923076923
5,Hallway/LeftEnd,4,-100.0,-100.0,-87.0,-100.0,-86.0,-85.5,-100.0,-85.5,-100.0,-81.88235294117646,-81.95,-100.0,-100.0,-100.0,-98.0,-100.0,-84.05263157894737
5,Hallway/LeftEnd,5,-91.0,-100.0,-92.0,-100.0,-92.0,-83.0,-100.0,-89.5,-100.0,-88.54545454545455,-90.54545454545455,-100.0,-100.0,-100.0,-100.0,-100.0,-91.5
5,LaptopPriority/CurrentPeriodicals,1,-83.0,-100.0,-83.0,-99.0,-100.0,-100.0,-89.0,-100.0,-87.0,-76.29411764705883,-75.3529411764706,-93.0,-100.0,-100.0,-95.0,-96.0,-80.95238095238095
